product_id,error_reason
205690661,HTTP 404
144230422,HTTP 404
229770132,HTTP 404
259514222,HTTP 404
251773322,HTTP 404
252357193,HTTP 404
204064371,HTTP 404
137676921,HTTP 404
137675299,HTTP 404
31855083,HTTP 404
137676203,HTTP 404
137675369,HTTP 404
137675537,HTTP 404
137676428,HTTP 404
137676504,HTTP 404
35865497,HTTP 404
137676419,HTTP 404
36869362,HTTP 404
137676509,HTTP 404
137676513,HTTP 404
137675321,HTTP 404
20150585,HTTP 404
204450798,HTTP 404
24243874,HTTP 404
33065672,HTTP 404
52484184,HTTP 404
229764828,HTTP 404
205673512,HTTP 404
243300456,HTTP 404
139196211,HTTP 404
172069313,HTTP 404
206147399,HTTP 404
11119985,HTTP 404
206246426,HTTP 404
205977423,HTTP 404
116813643,HTTP 404
243017139,HTTP 404
252882714,HTTP 404
205685450,HTTP 404
205685551,HTTP 404
245784317,HTTP 404
242391973,HTTP 404
229805444,HTTP 404
143468298,HTTP 404
111712435,HTTP 404
143468129,HTTP 404
68139092,HTTP 404
54683588,HTTP 404
206147376,HTTP 404
83743179,HTTP 404
251770063,HTTP 404
206553302,HTTP 404
209907468,HTTP 404
227326580,HTTP 404
229805345,HTTP 404
250099753,HTTP 404
243082353,HTTP 404
242841242,HTTP 404
245773668,HTTP 404
89698759,HTTP 404
124275744,HTTP 404
251772917,HTTP 404
206553965,HTTP 404
129010866,HTTP 404
107077858,HTTP 404
242999577,HTTP 404
206553450,HTTP 404
206554056,HTTP 404
206553261,HTTP 404
209909083,HTTP 404
229747995,HTTP 404
248865886,HTTP 404
206553308,HTTP 404
116470301,HTTP 404
248858613,HTTP 404
209907945,HTTP 404
144197460,HTTP 404
38495219,HTTP 404
206553432,HTTP 404
206244672,HTTP 404
206553272,HTTP 404
116470590,HTTP 404
206554060,HTTP 404
205666051,HTTP 404
11078812,HTTP 404
242717741,HTTP 404
248154660,HTTP 404
245787203,HTTP 404
253073394,HTTP 404
206553412,HTTP 404
250100139,HTTP 404
205691354,HTTP 404
155199093,HTTP 404
144198306,HTTP 404
250099921,HTTP 404
242717078,HTTP 404
16197757,HTTP 404
36995833,HTTP 404
31909260,HTTP 404
77718785,HTTP 404
109976728,HTTP 404
38467919,HTTP 404
31908911,HTTP 404
110360088,HTTP 404
74571640,HTTP 404
41343279,HTTP 404
35723368,HTTP 404
35723131,HTTP 404
206473684,HTTP 404
206470218,HTTP 404
225314670,HTTP 404
209165308,HTTP 404
41293717,HTTP 404
136891407,HTTP 404
209165145,HTTP 404
209165158,HTTP 404
83665733,HTTP 404
77879001,HTTP 404
114572449,HTTP 404
253614911,HTTP 404
203960851,HTTP 404
203960862,HTTP 404
204064409,HTTP 404
203960840,HTTP 404
203960855,HTTP 404
204437733,HTTP 404
204065101,HTTP 404
204064542,HTTP 404
204650196,HTTP 404
203960845,HTTP 404
204065506,HTTP 404
203992243,HTTP 404
203992378,HTTP 404
203961147,HTTP 404
203960916,HTTP 404
204064916,HTTP 404
213969881,HTTP 404
204065056,HTTP 404
203992149,HTTP 404
204064746,HTTP 404
213969882,HTTP 404
203960707,HTTP 404
204437406,HTTP 404
203992328,HTTP 404
204064447,HTTP 404
204064369,HTTP 404
206836167,HTTP 404
204064320,HTTP 404
203998899,HTTP 404
204065053,HTTP 404
204064488,HTTP 404
197856522,HTTP 404
203961125,HTTP 404
203961026,HTTP 404
203961169,HTTP 404
203960975,HTTP 404
203961052,HTTP 404
204044482,HTTP 404
204437759,HTTP 404
129172465,HTTP 404
243084656,HTTP 404
247922159,HTTP 404
246856779,HTTP 404
249591076,HTTP 404
249601277,HTTP 404
262811657,HTTP 404
97708090,HTTP 404
57522629,HTTP 404
39951047,HTTP 404
137675541,HTTP 404
213921058,HTTP 404
202715453,HTTP 404
253620976,HTTP 404
205889379,HTTP 404
205892589,HTTP 404
205692600,HTTP 404
205886057,HTTP 404
88096885,HTTP 404
210959895,HTTP 404
114572403,HTTP 404
214234034,HTTP 404
222399161,HTTP 404
207299029,HTTP 404
207299276,HTTP 404
74443873,HTTP 404
222399232,HTTP 404
251590785,HTTP 404
248619617,HTTP 404
2152895,HTTP 404
242859748,HTTP 404
246960313,HTTP 404
242866154,HTTP 404
251590836,HTTP 404
108102585,HTTP 404
193155919,HTTP 404
258668703,HTTP 404
111521985,HTTP 404
246136752,HTTP 404
262835627,HTTP 404
251751008,HTTP 404
262845891,HTTP 404
202012916,HTTP 404
262846190,HTTP 404
254181075,HTTP 404
262846146,HTTP 404
246162959,HTTP 404
262845989,HTTP 404
262749764,HTTP 404
261961817,HTTP 404
144631305,HTTP 404
246209066,HTTP 404
95296908,HTTP 404
82921009,HTTP 404
250086235,HTTP 404
248540527,HTTP 404
121331576,HTTP 404
14348102,HTTP 404
245900784,HTTP 404
243084989,HTTP 404
246856167,HTTP 404
262839280,HTTP 404
262838603,HTTP 404
262839195,HTTP 404
205529304,HTTP 404
262301764,HTTP 404
246770166,HTTP 404
246755238,HTTP 404
93764811,HTTP 404
114877982,HTTP 404
57763788,HTTP 404
228930728,HTTP 404
73544502,HTTP 404
262787502,HTTP 404
2069457,HTTP 404
197379419,HTTP 404
114876967,HTTP 404
114894597,HTTP 404
180576324,HTTP 404
135370586,HTTP 404
107405220,HTTP 404
261995759,HTTP 404
221239902,HTTP 404
221255334,HTTP 404
146250691,HTTP 404
80665479,HTTP 404
246852873,HTTP 404
246856195,HTTP 404
242882260,HTTP 404
92744455,HTTP 404
92743919,HTTP 404
212260370,HTTP 404
207990670,HTTP 404
179142419,HTTP 404
130773904,HTTP 404
247275270,HTTP 404
246851142,HTTP 404
246853057,HTTP 404
245769955,HTTP 404
179142316,HTTP 404
205081143,HTTP 404
203200763,HTTP 404
242712795,HTTP 404
129714951,HTTP 404
111158140,HTTP 404
129727779,HTTP 404
140987470,HTTP 404
249093147,HTTP 404
199607003,HTTP 404
252356056,HTTP 404
242881295,HTTP 404
205285722,HTTP 404
129416808,HTTP 404
207709582,HTTP 404
245218785,HTTP 404
246432064,HTTP 404
245889367,HTTP 404
242200678,HTTP 404
261815158,HTTP 404
255349730,HTTP 404
262082309,HTTP 404
247950409,HTTP 404
263110063,HTTP 404
263294035,HTTP 404
262646337,HTTP 404
244690356,HTTP 404
167473816,HTTP 404
262780647,HTTP 404
262779574,HTTP 404
206673684,HTTP 404
249657975,HTTP 404
249662613,HTTP 404
240474641,HTTP 404
249017750,HTTP 404
260810317,HTTP 404
87556401,HTTP 404
52277277,HTTP 404
87563213,HTTP 404
87548845,HTTP 404
17928527,HTTP 404
130422290,HTTP 404
69090355,HTTP 404
54745696,HTTP 404
87549360,HTTP 404
126158085,HTTP 404
87549039,HTTP 404
196800922,HTTP 404
91403505,HTTP 404
130425293,HTTP 404
218750573,HTTP 404
134389899,HTTP 404
190703156,HTTP 404
202788110,HTTP 404
76359080,HTTP 404
23383685,HTTP 404
207831478,HTTP 404
202786108,HTTP 404
150947006,HTTP 404
258610145,HTTP 404
162976249,HTTP 404
162973658,HTTP 404
166412645,HTTP 404
162197629,HTTP 404
162163898,HTTP 404
248494132,HTTP 404
248496686,HTTP 404
246856721,HTTP 404
205422991,HTTP 404
248495222,HTTP 404
186552167,HTTP 404
248492481,HTTP 404
249602001,HTTP 404
248493276,HTTP 404
248496424,HTTP 404
248495488,HTTP 404
249657398,HTTP 404
249600827,HTTP 404
249601462,HTTP 404
248494625,HTTP 404
246850985,HTTP 404
205286057,HTTP 404
249602668,HTTP 404
249601697,HTTP 404
198074821,HTTP 404
263625495,HTTP 404
205280846,HTTP 404
248491779,HTTP 404
154532215,HTTP 404
154532108,HTTP 404
147873300,HTTP 404
154532335,HTTP 404
147873788,HTTP 404
168404037,HTTP 404
262524753,HTTP 404
186676376,HTTP 404
208122526,HTTP 404
248494657,HTTP 404
248916220,HTTP 404
208613149,HTTP 404
176150593,HTTP 404
190367084,HTTP 404
190703501,HTTP 404
167475454,HTTP 404
104794757,HTTP 404
104792902,HTTP 404
104791896,HTTP 404
167478124,HTTP 404
173380362,HTTP 404
167481417,HTTP 404
167477772,HTTP 404
195548070,HTTP 404
26162099,HTTP 404
167483500,HTTP 404
167477366,HTTP 404
178088896,HTTP 404
183491790,HTTP 404
53492237,HTTP 404
164552469,HTTP 404
